订单号,产品类别,产品名称,销售数量,单价,销售额
5879241383,图书,摄影集,5,129,645
6890353450,食品,方便面,5,49,245
6865052496,服装,半身裙,8,299,2392
6805321631,服装,外套,1,599,599
5805146346,食品,咖啡,5,129,645
6873127248,家居用品,地毯,8,299,2392
6844904388,家居用品,收纳盒,10,79,790
6836585103,电子产品,USB数据线,9,29,261
5821778573,服装,衬衫,7,299,2093
6805779311,服装,运动裤,8,249,1992
5801873309,电子产品,路由器,7,299,2093
6842433686,电子产品,U盘,1,59,59
5827508455,家居用品,蜡烛,5,49,245
6855956978,家居用品,蜡烛,2,49,98
6817708051,家居用品,蜡烛,5,49,245
5837602170,图书,字帖,8,29,232
6816376743,电子产品,USB数据线,2,29,58
5816285494,食品,牛奶,1,69,69
6878949527,电子产品,无线耳机,3,299,897
5867072555,服装,西装裤,2,449,898
5876638261,服装,袜子,5,29,145
5874746458,服装,西装裤,1,449,449
6859826757,图书,画册,2,99,198
6855967378,图书,字帖,6,29,174
6812374694,服装,毛衣,9,399,3591
5847458425,家居用品,桌布,9,79,711
6826667587,服装,连衣裙,5,499,2495
5823039491,图书,练习册,2,39,78
6844981163,食品,茶叶,2,199,398
6852976345,电子产品,手机壳,5,49,245
5814938951,电子产品,平板电脑,10,2499,24990
5828470938,服装,短裤,2,149,298
6835026769,图书,诗集,2,49,98
6890609921,电子产品,笔记本电脑,10,5999,59990
6869333277,家居用品,床垫,9,5999,53991
6873254331,家居用品,窗帘,1,399,399
5881589365,家居用品,枕头,1,199,199
5822667696,图书,摄影集,8,129,1032
5852286595,电子产品,手机壳,6,49,294
5868514156,食品,果干,10,59,590
6850815278,家居用品,枕头,6,199,1194
6824315481,家居用品,衣架,8,39,312
6845880542,食品,海苔,10,29,290
6811136677,电子产品,显示器,5,1299,6495
5811267840,服装,短裤,8,149,1192
6874679301,服装,休闲裤,5,299,1495
6825956707,家居用品,毛巾,5,49,245
6879211098,图书,练习册,10,39,390
6883194186,食品,肉脯,10,69,690
5853054830,食品,肉脯,1,69,69
5805170374,家居用品,水杯,8,49,392
5863073750,食品,海苔,6,29,174
6879242690,食品,零食大礼包,3,89,267
5891062479,食品,饼干,10,39,390
6872729357,服装,短裤,4,149,596
5889283753,电子产品,智能音箱,5,399,1995
5814567651,家居用品,毛巾,6,49,294
5885541001,家居用品,餐具套装,6,199,1194
6824310511,家居用品,枕头,6,199,1194
5878969657,家居用品,床垫,8,5999,47992
5853861556,电子产品,钢化膜,5,39,195
5827118463,食品,面包,10,29,290
5884726526,家居用品,收纳盒,1,79,79
6841626372,家居用品,沙发,2,3999,7998
6824834965,食品,坚果,10,79,790
5864200262,家居用品,床垫,4,5999,23996
6823999604,图书,旅游指南,10,69,690
6813380522,电子产品,智能手机,3,2999,8997
5854306954,家居用品,毛巾,6,49,294
5876354209,图书,笔记本,5,49,245
6804390223,食品,糖果,6,39,234
5825538313,电子产品,钢化膜,1,39,39
5887227925,电子产品,平板电脑,2,2499,4998
5893361218,图书,笔记本,3,49,147
5818152363,电子产品,蓝牙耳机,8,199,1592
6858035154,食品,方便面,10,49,490
6889194588,食品,巧克力,5,59,295
6833067503,家居用品,纸巾,5,39,195
6882063897,食品,巧克力,4,59,236
5814816711,家居用品,蜡烛,8,49,392
6815487266,图书,技术书籍,5,89,445
5841352622,家居用品,拖把,1,89,89
5841427707,食品,蜂蜜,7,89,623
5805792947,家居用品,扫把,4,39,156
6874166656,食品,麦片,2,49,98
6888548139,食品,能量棒,7,49,343
6867654283,电子产品,无线耳机,2,299,598
6837893528,家居用品,扫把,4,39,156
6890392173,食品,茶叶,5,199,995
6853663987,食品,零食大礼包,2,89,178
6802052554,服装,睡衣,3,199,597
5822424851,食品,坚果,4,79,316
6838941887,电子产品,路由器,7,299,2093
5851089960,家居用品,毛巾,10,49,490
5823329114,图书,字典,7,99,693
5821040515,电子产品,钢化膜,9,39,351
6830515225,图书,摄影集,7,129,903
6822412203,服装,休闲裤,8,299,2392
5817231648,服装,衬衫,5,299,1495
6841473447,食品,果汁,4,39,156
5815401663,家居用品,沙发,9,3999,35991
6832245129,食品,矿泉水,10,29,290
5884006836,食品,海苔,6,29,174
6808702911,电子产品,路由器,4,299,1196
5836984659,图书,食谱,7,49,343
5878122717,电子产品,智能手表,10,899,8990
6890876412,食品,海苔,1,29,29
6824270558,食品,薯片,1,19,19
6814064009,图书,练习册,9,39,351
5832052306,家居用品,毛巾,2,49,98
5865217126,电子产品,存储卡,7,129,903
6813149131,电子产品,手机壳,9,49,441
5865254576,食品,方便面,2,49,98
5864343049,服装,风衣,1,699,699
6824634614,服装,西装裤,2,449,898
5872729055,电子产品,键盘,2,199,398
6818532821,图书,漫画,8,39,312
6820986832,食品,肉脯,3,69,207
6899877847,家居用品,枕头,10,199,1990
6886260421,电子产品,移动电源,4,149,596
6860752624,图书,字帖,7,29,203
5877457110,食品,蜂蜜,2,89,178
5832560118,食品,薯片,7,19,133
5880846456,服装,西装裤,9,449,4041
5875231157,图书,笔记本,6,49,294
5873373109,家居用品,洗衣液,2,49,98
6871646723,图书,杂志,7,29,203
6829733993,家居用品,窗帘,7,399,2793
6889261873,图书,笔记本,8,49,392
6869253277,食品,方便面,1,49,49
6807376898,家居用品,香薰,7,99,693
6869886459,图书,教材,3,79,237
6806160339,食品,零食大礼包,3,89,267
6862175114,食品,面包,8,29,232
6827231926,图书,字典,4,99,396
5826822786,家居用品,地毯,2,299,598
6807847191,图书,漫画,8,39,312
5854096632,服装,牛仔裤,4,399,1596
6838020550,家居用品,地毯,5,299,1495
5838148763,电子产品,蓝牙耳机,10,199,1990
5855677494,食品,坚果,10,79,790
6812559570,电子产品,智能手表,9,899,8091
6833144246,食品,能量棒,5,49,245
6889158121,食品,牛奶,10,69,690
5881823286,图书,画册,5,99,495
6801495528,图书,历史书,9,89,801
6867566121,图书,旅游指南,6,69,414
6817604870,服装,围巾,5,129,645
6827897151,食品,能量棒,9,49,441
5830696359,食品,坚果,3,79,237
6840828332,家居用品,洗衣液,7,49,343
5857696039,电子产品,蓝牙耳机,8,199,1592
5859034879,服装,连衣裙,9,499,4491
5849308732,服装,风衣,5,699,3495
6809660384,食品,矿泉水,5,29,145
6803745732,家居用品,垃圾桶,8,59,472
5876386922,图书,漫画,6,39,234
5872884276,图书,食谱,5,49,245
6862898039,图书,字帖,9,29,261
6887906700,电子产品,移动电源,7,149,1043
5822235365,家居用品,垃圾桶,9,59,531
6836140342,食品,零食大礼包,1,89,89
6866915478,图书,绘本,2,59,118
5872942373,食品,饼干,8,39,312
6851028631,图书,字帖,1,29,29
6869653239,食品,糖果,6,39,234
5801962133,家居用品,收纳盒,2,79,158
6832952335,食品,果干,4,59,236
6840926430,图书,摄影集,10,129,1290
5834735575,食品,酸奶,5,59,295
6876402501,服装,睡衣,10,199,1990
6851411201,图书,字典,3,99,297
5825644770,家居用品,垃圾桶,2,59,118
6884360308,电子产品,笔记本电脑,5,5999,29995
6858821045,家居用品,沙发,8,3999,31992
6878999122,家居用品,香薰,3,99,297
5884742846,食品,巧克力,2,59,118
6873035797,电子产品,路由器,2,299,598
5871133274,电子产品,鼠标,1,89,89
5839574954,家居用品,地毯,4,299,1196
5878252086,食品,肉脯,7,69,483
6826816957,服装,手套,5,59,295
5881472337,家居用品,桌布,4,79,316
5831710697,家居用品,餐具套装,6,199,1194
6818372908,服装,风衣,1,699,699
6890163345,食品,矿泉水,9,29,261
5866711381,食品,肉脯,10,69,690
6874405722,食品,果汁,6,39,234
6862347895,电子产品,U盘,10,59,590
6862143082,图书,散文集,10,59,590
6881174739,家居用品,水杯,3,49,147
5890937948,电子产品,USB数据线,1,29,29
6859092130,家居用品,床垫,4,5999,23996
6864610136,电子产品,平板电脑,9,2499,22491
6856858615,电子产品,智能手机,5,2999,14995
6874044470,图书,字典,6,99,594
6811229309,家居用品,拖把,2,89,178
5867096000,电子产品,移动电源,3,149,447
5869692650,电子产品,移动电源,7,149,1043
5861400879,服装,卫衣,7,349,2443
5827294885,电子产品,移动电源,2,149,298
6878930826,电子产品,USB数据线,1,29,29
6894030876,图书,绘本,9,59,531
5866314665,电子产品,手机壳,9,49,441
5844313707,服装,短裤,3,149,447
5898273477,家居用品,毛巾,3,49,147
5878946554,服装,手套,6,59,354
5838636156,食品,蜂蜜,4,89,356
5852580673,食品,坚果,1,79,79
6891639233,食品,蜂蜜,6,89,534
6841710658,电子产品,无线耳机,9,299,2691
5844830398,食品,茶叶,9,199,1791
5813870384,电子产品,智能手表,3,899,2697
5800257671,图书,旅游指南,2,69,138
6868880875,家居用品,被子,9,399,3591
6835453724,图书,科普书,3,59,177
6837647011,服装,卫衣,10,349,3490
6873163407,图书,摄影集,7,129,903
5804112603,家居用品,沙发,2,3999,7998
6849785580,电子产品,笔记本电脑,10,5999,59990
5869835128,电子产品,手机壳,9,49,441
6802890262,图书,小说,9,49,441
5867475720,服装,卫衣,9,349,3141
5868828994,图书,字典,7,99,693
6898045661,图书,历史书,3,89,267
6865928279,电子产品,显示器,4,1299,5196
5831333751,电子产品,平板电脑,9,2499,22491
6845600235,食品,矿泉水,8,29,232
6860434598,图书,诗集,3,49,147
5863886364,服装,内衣,1,89,89
5803917597,家居用品,地毯,9,299,2691
6886426092,图书,技术书籍,7,89,623
6859888529,食品,咖啡,5,129,645
6895298343,电子产品,智能手机,9,2999,26991
6826516262,家居用品,蜡烛,6,49,294
6817711302,家居用品,枕头,6,199,1194
5813878248,电子产品,麦克风,9,299,2691
5899770200,电子产品,摄像头,7,399,2793
6875889166,服装,运动裤,1,249,249
5819354578,图书,历史书,6,89,534
5833331680,食品,果汁,5,39,195
6824842307,电子产品,路由器,10,299,2990
6883024532,图书,诗集,10,49,490
6809302399,电子产品,显示器,1,1299,1299
5876425200,家居用品,餐具套装,3,199,597
6805742005,服装,羽绒服,9,899,8091
6886253595,图书,诗集,1,49,49
5800957347,服装,风衣,1,699,699
5872078187,家居用品,地毯,6,299,1794
6891178336,服装,卫衣,7,349,2443
6822571575,食品,方便面,10,49,490
5867099128,服装,T恤,4,199,796
5896604578,电子产品,显示器,3,1299,3897
6872487503,食品,糖果,7,39,273
6839007967,电子产品,游戏手柄,2,249,498
6840236750,电子产品,蓝牙耳机,8,199,1592
6802945443,电子产品,蓝牙耳机,8,199,1592
6898670721,图书,教材,9,79,711
5847618916,图书,杂志,2,29,58
6806527815,图书,漫画,7,39,273
5824731046,图书,字典,7,99,693
6872418220,电子产品,无线耳机,8,299,2392
5806977869,电子产品,U盘,10,59,590
5840421293,食品,茶叶,10,199,1990
6872801893,食品,矿泉水,5,29,145
5802528062,图书,字帖,3,29,87
6876227672,食品,方便面,10,49,490
5885401142,服装,半身裙,5,299,1495
5895044513,食品,咖啡,10,129,1290
6841526591,图书,绘本,2,59,118
6863254178,服装,短裤,3,149,447
5882955991,家居用品,窗帘,3,399,1197
5865741907,图书,旅游指南,1,69,69
5855105517,电子产品,显示器,10,1299,12990
6863601447,图书,散文集,9,59,531
6838738461,家居用品,被子,5,399,1995
6844659317,服装,卫衣,4,349,1396
6843198618,电子产品,鼠标,7,89,623
5875089905,食品,酸奶,3,59,177
5892891438,食品,麦片,5,49,245
6857291518,图书,小说,4,49,196
5884008670,家居用品,纸巾,4,39,156
5896002331,家居用品,扫把,3,39,117
5820470251,电子产品,移动电源,9,149,1341
5868709921,家居用品,垃圾桶,4,59,236
5852431984,服装,毛衣,5,399,1995
5880473515,食品,果汁,10,39,390
5882782224,电子产品,移动电源,2,149,298
6813066646,服装,牛仔裤,5,399,1995
6813337181,电子产品,钢化膜,8,39,312
6831458765,家居用品,餐具套装,10,199,1990
5830301956,服装,风衣,10,699,6990
5882153266,图书,旅游指南,4,69,276
6800227885,食品,蜂蜜,4,89,356
6894029987,家居用品,被子,3,399,1197
5804582694,食品,牛奶,8,69,552
6840232962,电子产品,鼠标,1,89,89
6866027788,电子产品,存储卡,5,129,645
5834427738,电子产品,移动电源,9,149,1341
5835526709,电子产品,蓝牙耳机,4,199,796
5884284208,家居用品,水杯,10,49,490
6832768716,服装,羽绒服,6,899,5394
6842853053,图书,技术书籍,9,89,801
6897454715,食品,面包,5,29,145
6827164431,电子产品,平板电脑,1,2499,2499
5815751088,图书,历史书,5,89,445
5815880810,家居用品,餐具套装,7,199,1393
5861615084,食品,海苔,7,29,203
6887791768,食品,零食大礼包,7,89,623
5886204084,图书,杂志,10,29,290
6884777373,家居用品,纸巾,3,39,117
6863381286,电子产品,蓝牙耳机,1,199,199
5887739453,家居用品,纸巾,9,39,351
6890965783,电子产品,平板电脑,2,2499,4998
6892626445,电子产品,智能音箱,4,399,1596
6887669254,食品,果汁,9,39,351
6866905032,图书,散文集,2,59,118
6853937760,家居用品,纸巾,3,39,117
5894832158,电子产品,显示器,6,1299,7794
5842135545,电子产品,摄像头,10,399,3990
5867273365,图书,笔记本,8,49,392
6808557550,家居用品,扫把,5,39,195
6854016886,图书,字典,7,99,693
6809133332,家居用品,毛巾,2,49,98
5801866775,图书,杂志,10,29,290
6840379790,家居用品,沙发,1,3999,3999
6866986049,家居用品,拖把,7,89,623
6859861779,服装,内衣,3,89,267
5894965586,图书,字典,6,99,594
6806335545,服装,毛衣,8,399,3192
6881891349,图书,字帖,6,29,174
6891182351,食品,麦片,6,49,294
5845098538,图书,科普书,2,59,118
5828097577,图书,诗集,5,49,245
6883322103,电子产品,智能手机,2,2999,5998
6881473885,服装,风衣,6,699,4194
6806891687,图书,杂志,10,29,290
5892304397,服装,睡衣,3,199,597
5861191726,电子产品,存储卡,6,129,774
6882602989,电子产品,蓝牙耳机,1,199,199
5864988754,图书,练习册,6,39,234
5849276226,图书,散文集,10,59,590
6892560636,图书,技术书籍,9,89,801
5807367507,食品,酸奶,2,59,118
5867814367,家居用品,窗帘,8,399,3192
5870995622,食品,果汁,3,39,117
5855966379,图书,教材,8,79,632
6800723302,服装,连衣裙,4,499,1996
6891777100,家居用品,桌布,10,79,790
6816306405,图书,传记,5,69,345
5827669048,食品,麦片,6,49,294
6897769026,家居用品,蜡烛,5,49,245
5817732497,图书,漫画,7,39,273
5833987419,家居用品,收纳盒,5,79,395
6853120008,家居用品,洗洁精,8,29,232
5862354667,服装,休闲裤,9,299,2691
6890940588,服装,羽绒服,6,899,5394
6861660624,家居用品,窗帘,1,399,399
6838179745,家居用品,拖把,1,89,89
6891238924,电子产品,鼠标,5,89,445
6824998019,服装,衬衫,6,299,1794
6864257240,家居用品,香薰,6,99,594
5801461172,食品,海苔,2,29,58
5888544474,食品,糖果,3,39,117
6801976869,家居用品,衣架,5,39,195
6850224620,服装,卫衣,4,349,1396
5822076434,图书,字帖,8,29,232
6846010084,图书,教材,8,79,632
6801680556,服装,内衣,4,89,356
5828868579,图书,教材,5,79,395
5847381957,服装,毛衣,5,399,1995
6806513781,电子产品,智能手机,6,2999,17994
5811618408,家居用品,香薰,3,99,297
6832194328,服装,袜子,4,29,116
6859510952,食品,酸奶,1,59,59
6843273729,食品,果汁,1,39,39
6875695055,家居用品,枕头,6,199,1194
6856749011,图书,摄影集,9,129,1161
6832890365,电子产品,键盘,5,199,995
5876901338,服装,短裤,6,149,894
6877576069,电子产品,鼠标,3,89,267
6837012064,电子产品,麦克风,8,299,2392
6832462828,家居用品,床垫,8,5999,47992
6823002682,服装,牛仔裤,9,399,3591
6814348900,食品,牛奶,2,69,138
6835195484,食品,坚果,1,79,79
6815808186,食品,坚果,10,79,790
5844391565,电子产品,笔记本电脑,4,5999,23996
5804478084,服装,帽子,1,79,79
6849795609,家居用品,洗衣液,10,49,490
5844858451,图书,杂志,7,29,203
6890733017,食品,蜂蜜,5,89,445
6886647361,服装,围巾,7,129,903
6873098065,图书,字典,4,99,396
6805300350,服装,手套,10,59,590
5896909421,电子产品,U盘,3,59,177
6875501192,电子产品,智能手机,2,2999,5998
6810309738,服装,运动裤,9,249,2241
5898664211,电子产品,智能手表,4,899,3596
5830188414,家居用品,蜡烛,3,49,147
5899959087,服装,衬衫,5,299,1495
6878127702,图书,杂志,9,29,261
6897885032,电子产品,无线耳机,9,299,2691
6806871595,电子产品,存储卡,8,129,1032
5823245607,电子产品,智能手机,10,2999,29990
5890932573,服装,卫衣,1,349,349
5895640912,服装,运动裤,8,249,1992
6869496866,图书,散文集,7,59,413
5809036074,家居用品,餐具套装,10,199,1990
6818144493,图书,教材,6,79,474
6803788836,电子产品,平板电脑,8,2499,19992
6896014783,家居用品,拖把,6,89,534
5841540012,家居用品,纸巾,8,39,312
5824508069,食品,面包,7,29,203
6840013941,食品,薯片,10,19,190
6826088251,电子产品,无线耳机,8,299,2392
6805424379,食品,蜂蜜,2,89,178
5862509425,图书,字帖,8,29,232
5826573371,电子产品,摄像头,9,399,3591
5857034560,食品,蜂蜜,8,89,712
5807851172,电子产品,麦克风,2,299,598
5828539930,电子产品,鼠标,8,89,712
5860501038,图书,画册,6,99,594
5851751960,服装,外套,10,599,5990
6874705582,电子产品,游戏手柄,6,249,1494
6867148266,电子产品,智能手表,5,899,4495
6812908302,电子产品,钢化膜,2,39,78
6858647814,家居用品,垃圾桶,4,59,236
5852762650,家居用品,垃圾桶,8,59,472
5883680493,电子产品,路由器,3,299,897
6838249011,食品,牛奶,5,69,345
5878898156,图书,历史书,4,89,356
6888122019,食品,薯片,9,19,171
5814374624,服装,帽子,6,79,474
5871964525,家居用品,地毯,8,299,2392
6811426830,食品,果干,9,59,531
5808385307,服装,围巾,3,129,387
5826023717,食品,方便面,10,49,490
5816772570,家居用品,拖把,8,89,712
5854153656,电子产品,手机壳,6,49,294
5851946844,服装,西装裤,2,449,898
5822746557,服装,休闲裤,10,299,2990
5807892827,电子产品,平板电脑,4,2499,9996
5852463155,服装,西装裤,3,449,1347
5801601835,食品,坚果,4,79,316
5889896262,图书,小说,6,49,294
5805561986,食品,麦片,7,49,343
6885659604,服装,牛仔裤,3,399,1197
6814787700,食品,酸奶,2,59,118
5870957778,电子产品,移动电源,10,149,1490
6885600362,家居用品,蜡烛,4,49,196
6826401287,食品,果汁,1,39,39
5849796164,图书,画册,2,99,198
5826568588,电子产品,蓝牙耳机,3,199,597
5879927641,家居用品,桌布,10,79,790
5832744311,电子产品,麦克风,10,299,2990
6876391705,图书,散文集,4,59,236
6800844618,服装,半身裙,2,299,598
6881159219,食品,零食大礼包,9,89,801
6838456073,食品,能量棒,3,49,147
5864594558,家居用品,桌布,10,79,790
6852775012,图书,杂志,4,29,116
6855446779,图书,摄影集,4,129,516
5894349267,家居用品,毛巾,3,49,147
6866695716,电子产品,智能手表,3,899,2697
6847293466,家居用品,纸巾,3,39,117
5817801181,服装,外套,7,599,4193
6889428015,电子产品,蓝牙耳机,2,199,398
6807642574,电子产品,钢化膜,8,39,312
5811434910,家居用品,沙发,6,3999,23994
6854598751,图书,画册,6,99,594
5830150947,家居用品,毛巾,8,49,392
6882465065,食品,咖啡,8,129,1032
5862422953,电子产品,鼠标,9,89,801
5894722975,服装,西装裤,3,449,1347
6886473200,图书,历史书,9,89,801
6800132162,食品,巧克力,7,59,413
6836203669,图书,日历,9,39,351
6803419672,服装,手套,9,59,531
5814142320,家居用品,床垫,5,5999,29995
5851506066,图书,杂志,10,29,290
6812985395,电子产品,无线耳机,9,299,2691
5815712701,电子产品,键盘,1,199,199
6824531780,食品,酸奶,2,59,118
5858811924,图书,日历,5,39,195
5850897157,电子产品,智能音箱,4,399,1596
5815438838,电子产品,存储卡,4,129,516
6823915070,家居用品,地毯,10,299,2990
5820099845,食品,面包,8,29,232
5894543795,食品,蜂蜜,2,89,178
6877207718,服装,睡衣,10,199,1990
5862179782,家居用品,餐具套装,2,199,398
6889148565,服装,运动裤,5,249,1245
6890554963,食品,果汁,9,39,351
5838827496,食品,矿泉水,8,29,232
6803694241,家居用品,垃圾桶,4,59,236
6823654398,电子产品,存储卡,10,129,1290
5859871850,电子产品,蓝牙耳机,4,199,796
5850370760,图书,散文集,2,59,118
5822687175,图书,笔记本,4,49,196
6814230611,电子产品,路由器,3,299,897
6877366996,家居用品,蜡烛,9,49,441
6846830553,电子产品,显示器,10,1299,12990
5898811822,服装,衬衫,7,299,2093
5886347849,电子产品,蓝牙耳机,4,199,796
5849910718,图书,历史书,4,89,356
6893362512,电子产品,手机壳,3,49,147
6858202357,食品,海苔,1,29,29
5837476569,服装,运动裤,4,249,996
5818560820,服装,连衣裙,1,499,499
6825197576,电子产品,钢化膜,9,39,351
5871798116,图书,历史书,8,89,712
6835869538,电子产品,手机壳,10,49,490
5815613269,电子产品,智能手机,6,2999,17994
6850534255,家居用品,地毯,9,299,2691
6841822560,家居用品,洗衣液,9,49,441
6865550546,服装,牛仔裤,7,399,2793
6833307089,图书,小说,10,49,490
6837234220,服装,衬衫,9,299,2691
5889119247,食品,酸奶,7,59,413
5806207649,电子产品,路由器,7,299,2093
5858127300,服装,毛衣,10,399,3990
5884386495,图书,摄影集,3,129,387
6893767116,食品,肉脯,5,69,345
