订单号,产品类别,产品名称,销售数量,单价,客户所在城市,支付方式,订单日期
5817942253,家居用品,毛巾,9,49,上海,银行卡,2025-06-21
6838419156,服装,T恤,1,199,深圳,现金,2025-06-21
6832672046,服装,卫衣,2,349,郑州,微信支付,2025-06-21
6882641183,食品,坚果,1,79,天津,现金,2025-06-22
5882040279,图书,练习册,3,39,青岛,微信支付,2025-06-22
5856960206,食品,能量棒,3,49,苏州,银行卡,2025-06-23
6835930946,服装,休闲裤,2,299,合肥,支付宝,2025-06-23
6884401422,图书,笔记本,9,49,厦门,银行卡,2025-06-23
6817646898,家居用品,衣架,8,39,北京,支付宝,2025-06-23
5824138220,图书,日历,3,39,青岛,支付宝,2025-06-23
5810483850,家居用品,床垫,5,5999,南京,银行卡,2025-06-24
6874228092,电子产品,无线耳机,1,299,成都,微信支付,2025-06-25
5825937662,电子产品,钢化膜,6,39,天津,银行卡,2025-06-25
6899540878,家居用品,床垫,4,5999,合肥,支付宝,2025-06-25
6815202927,家居用品,地毯,8,299,合肥,银行卡,2025-06-25
5803850839,电子产品,键盘,6,199,上海,现金,2025-06-26
6850947020,家居用品,纸巾,5,39,福州,银行卡,2025-06-26
5840069589,图书,画册,3,99,天津,现金,2025-06-26
6882159173,食品,蜂蜜,7,89,武汉,微信支付,2025-06-27
6847661479,食品,薯片,8,19,重庆,支付宝,2025-06-27
5848428039,食品,茶叶,10,199,重庆,微信支付,2025-06-27
6868231493,食品,薯片,5,19,南京,微信支付,2025-06-27
5832758970,服装,风衣,8,699,上海,支付宝,2025-06-28
6899145716,图书,杂志,8,29,合肥,支付宝,2025-06-29
6893625569,服装,围巾,8,129,深圳,支付宝,2025-06-29
5863393961,电子产品,游戏手柄,2,249,重庆,微信支付,2025-06-29
6827358966,图书,字典,6,99,郑州,支付宝,2025-06-29
5878543628,家居用品,洗洁精,10,29,南京,支付宝,2025-06-29
5824298537,服装,卫衣,8,349,苏州,微信支付,2025-06-30
6868959743,图书,笔记本,4,49,天津,银行卡,2025-06-30
6826045080,服装,睡衣,3,199,西安,支付宝,2025-06-30
5855176585,图书,科普书,5,59,昆明,银行卡,2025-07-01
6856521224,服装,风衣,6,699,长沙,银行卡,2025-07-01
5838735887,图书,画册,7,99,天津,支付宝,2025-07-01
5863809863,家居用品,垃圾桶,2,59,青岛,银行卡,2025-07-02
5818261249,食品,茶叶,6,199,郑州,支付宝,2025-07-02
5845257567,图书,绘本,9,59,福州,银行卡,2025-07-02
6876712100,家居用品,衣架,1,39,郑州,支付宝,2025-07-02
5854511595,食品,零食大礼包,2,89,武汉,支付宝,2025-07-03
5894610701,家居用品,拖把,2,89,宁波,微信支付,2025-07-03
6865301539,食品,零食大礼包,4,89,长沙,支付宝,2025-07-03
5862128107,家居用品,沙发,3,3999,长沙,银行卡,2025-07-03
6885746519,电子产品,游戏手柄,4,249,昆明,微信支付,2025-07-04
6892321515,食品,坚果,10,79,西安,微信支付,2025-07-04
5883797573,食品,麦片,7,49,成都,微信支付,2025-07-04
5818113431,家居用品,床垫,8,5999,深圳,银行卡,2025-07-04
6883278187,家居用品,垃圾桶,1,59,南京,支付宝,2025-07-04
6818053882,食品,牛奶,4,69,广州,支付宝,2025-07-05
5891955361,电子产品,钢化膜,5,39,厦门,微信支付,2025-07-05
5883983174,家居用品,窗帘,10,399,深圳,支付宝,2025-07-05
5866054840,图书,字典,10,99,南京,支付宝,2025-07-06
5821394002,家居用品,收纳盒,1,79,南京,支付宝,2025-07-06
5839652877,图书,漫画,5,39,厦门,支付宝,2025-07-06
5866179578,电子产品,笔记本电脑,2,5999,深圳,微信支付,2025-07-06
6860644623,电子产品,存储卡,1,129,广州,银行卡,2025-07-06
5817207922,服装,连衣裙,7,499,福州,支付宝,2025-07-07
6826538206,电子产品,麦克风,7,299,昆明,银行卡,2025-07-07
6861726538,家居用品,地毯,10,299,福州,支付宝,2025-07-07
6873808416,家居用品,沙发,8,3999,郑州,银行卡,2025-07-07
5813233987,食品,方便面,5,49,昆明,微信支付,2025-07-07
5853556066,家居用品,纸巾,8,39,广州,支付宝,2025-07-07
6879411860,家居用品,沙发,6,3999,南京,支付宝,2025-07-08
5831376701,食品,薯片,2,19,武汉,微信支付,2025-07-08
5879174422,图书,散文集,6,59,苏州,微信支付,2025-07-09
5823360689,电子产品,智能手机,7,2999,青岛,支付宝,2025-07-09
5883051305,电子产品,智能手机,10,2999,南京,微信支付,2025-07-09
6832294234,食品,咖啡,2,129,上海,微信支付,2025-07-09
6871931711,家居用品,衣架,10,39,宁波,银行卡,2025-07-09
6856378469,服装,半身裙,8,299,天津,支付宝,2025-07-10
5800194073,服装,毛衣,6,399,成都,支付宝,2025-07-11
5800449605,家居用品,洗洁精,8,29,成都,银行卡,2025-07-11
5846265329,家居用品,床垫,3,5999,合肥,银行卡,2025-07-12
5867938109,电子产品,键盘,2,199,重庆,支付宝,2025-07-12
5893341133,食品,糖果,7,39,福州,微信支付,2025-07-13
6875304597,食品,能量棒,8,49,杭州,微信支付,2025-07-13
6835056691,服装,袜子,3,29,昆明,银行卡,2025-07-13
5854493676,服装,牛仔裤,2,399,西安,银行卡,2025-07-13
6862563518,服装,西装裤,7,449,北京,微信支付,2025-07-14
6811607405,食品,饼干,6,39,青岛,支付宝,2025-07-14
6869448173,食品,巧克力,3,59,天津,微信支付,2025-07-15
5848997046,图书,散文集,8,59,天津,微信支付,2025-07-15
5811798968,服装,内衣,5,89,南京,支付宝,2025-07-15
6821795644,食品,咖啡,8,129,长沙,支付宝,2025-07-15
5864529489,图书,旅游指南,2,69,郑州,银行卡,2025-07-15
6855377041,图书,日历,5,39,西安,支付宝,2025-07-16
5830456448,家居用品,窗帘,3,399,北京,银行卡,2025-07-16
6871381333,电子产品,路由器,4,299,长沙,支付宝,2025-07-17
6888789224,服装,手套,7,59,武汉,银行卡,2025-07-17
5801646266,食品,零食大礼包,4,89,深圳,银行卡,2025-07-17
5874099485,家居用品,香薰,7,99,上海,支付宝,2025-07-18
5843813257,家居用品,沙发,1,3999,广州,支付宝,2025-07-18
5843474151,服装,西装裤,1,449,深圳,微信支付,2025-07-18
5819162283,家居用品,窗帘,2,399,上海,银行卡,2025-07-18
5879241383,图书,摄影集,5,129,杭州,支付宝,2025-07-19
6890353450,食品,方便面,5,49,南京,支付宝,2025-07-19
6865052496,服装,半身裙,8,299,苏州,微信支付,2025-07-19
6805321631,服装,外套,1,599,西安,支付宝,2025-07-19
5805146346,食品,咖啡,5,129,南京,银行卡,2025-07-19
6873127248,家居用品,地毯,8,299,宁波,银行卡,2025-07-20
6844904388,家居用品,收纳盒,10,79,武汉,银行卡,2025-07-20
6836585103,电子产品,USB数据线,9,29,重庆,银行卡,2025-07-21
5821778573,服装,衬衫,7,299,杭州,微信支付,2025-07-21
6805779311,服装,运动裤,8,249,上海,支付宝,2025-07-21
5801873309,电子产品,路由器,7,299,苏州,微信支付,2025-07-21
6842433686,电子产品,U盘,1,59,北京,微信支付,2025-07-22
5827508455,家居用品,蜡烛,5,49,青岛,微信支付,2025-07-23
6855956978,家居用品,蜡烛,2,49,广州,微信支付,2025-07-23
6817708051,家居用品,蜡烛,5,49,苏州,支付宝,2025-07-24
5837602170,图书,字帖,8,29,天津,支付宝,2025-07-24
6816376743,电子产品,USB数据线,2,29,上海,支付宝,2025-07-24
5816285494,食品,牛奶,1,69,郑州,支付宝,2025-07-25
6878949527,电子产品,无线耳机,3,299,合肥,微信支付,2025-07-25
5867072555,服装,西装裤,2,449,合肥,微信支付,2025-07-25
5876638261,服装,袜子,5,29,西安,支付宝,2025-07-25
5874746458,服装,西装裤,1,449,郑州,微信支付,2025-07-25
6859826757,图书,画册,2,99,宁波,支付宝,2025-07-25
6855967378,图书,字帖,6,29,昆明,支付宝,2025-07-26
6812374694,服装,毛衣,9,399,深圳,银行卡,2025-07-26
5847458425,家居用品,桌布,9,79,重庆,微信支付,2025-07-26
6826667587,服装,连衣裙,5,499,上海,微信支付,2025-07-26
5823039491,图书,练习册,2,39,重庆,微信支付,2025-07-27
6844981163,食品,茶叶,2,199,深圳,支付宝,2025-07-27
6852976345,电子产品,手机壳,5,49,武汉,微信支付,2025-07-28
5814938951,电子产品,平板电脑,10,2499,福州,支付宝,2025-07-29
5828470938,服装,短裤,2,149,南京,支付宝,2025-07-29
6835026769,图书,诗集,2,49,福州,银行卡,2025-07-30
6890609921,电子产品,笔记本电脑,10,5999,昆明,微信支付,2025-07-30
6869333277,家居用品,床垫,9,5999,长沙,支付宝,2025-07-30
6873254331,家居用品,窗帘,1,399,上海,支付宝,2025-07-30
5881589365,家居用品,枕头,1,199,上海,支付宝,2025-07-30
5822667696,图书,摄影集,8,129,上海,支付宝,2025-07-31
5852286595,电子产品,手机壳,6,49,北京,银行卡,2025-07-31
5868514156,食品,果干,10,59,广州,支付宝,2025-07-31
6850815278,家居用品,枕头,6,199,厦门,支付宝,2025-08-01
6824315481,家居用品,衣架,8,39,厦门,支付宝,2025-08-01
6845880542,食品,海苔,10,29,武汉,银行卡,2025-08-01
6811136677,电子产品,显示器,5,1299,青岛,银行卡,2025-08-03
5811267840,服装,短裤,8,149,郑州,支付宝,2025-08-03
6874679301,服装,休闲裤,5,299,合肥,支付宝,2025-08-03
6825956707,家居用品,毛巾,5,49,杭州,支付宝,2025-08-03
6879211098,图书,练习册,10,39,深圳,微信支付,2025-08-03
6883194186,食品,肉脯,10,69,郑州,银行卡,2025-08-04
5853054830,食品,肉脯,1,69,北京,微信支付,2025-08-04
5805170374,家居用品,水杯,8,49,昆明,微信支付,2025-08-04
5863073750,食品,海苔,6,29,苏州,银行卡,2025-08-04
6879242690,食品,零食大礼包,3,89,苏州,银行卡,2025-08-04
5891062479,食品,饼干,10,39,宁波,支付宝,2025-08-04
6872729357,服装,短裤,4,149,福州,银行卡,2025-08-04
5889283753,电子产品,智能音箱,5,399,广州,支付宝,2025-08-05
5814567651,家居用品,毛巾,6,49,宁波,微信支付,2025-08-05
5885541001,家居用品,餐具套装,6,199,郑州,微信支付,2025-08-05
6824310511,家居用品,枕头,6,199,宁波,支付宝,2025-08-06
5878969657,家居用品,床垫,8,5999,南京,微信支付,2025-08-06
5853861556,电子产品,钢化膜,5,39,郑州,支付宝,2025-08-06
5827118463,食品,面包,10,29,重庆,支付宝,2025-08-07
5884726526,家居用品,收纳盒,1,79,重庆,银行卡,2025-08-08
6841626372,家居用品,沙发,2,3999,天津,银行卡,2025-08-08
6824834965,食品,坚果,10,79,深圳,银行卡,2025-08-09
5864200262,家居用品,床垫,4,5999,苏州,银行卡,2025-08-09
6823999604,图书,旅游指南,10,69,南京,银行卡,2025-08-09
6813380522,电子产品,智能手机,3,2999,合肥,支付宝,2025-08-10
5854306954,家居用品,毛巾,6,49,重庆,支付宝,2025-08-10
5876354209,图书,笔记本,5,49,福州,支付宝,2025-08-11
6804390223,食品,糖果,6,39,合肥,微信支付,2025-08-11
5825538313,电子产品,钢化膜,1,39,长沙,支付宝,2025-08-11
5887227925,电子产品,平板电脑,2,2499,深圳,微信支付,2025-08-12
5893361218,图书,笔记本,3,49,南京,微信支付,2025-08-12
5818152363,电子产品,蓝牙耳机,8,199,深圳,支付宝,2025-08-12
6858035154,食品,方便面,10,49,厦门,银行卡,2025-08-12
6889194588,食品,巧克力,5,59,天津,支付宝,2025-08-12
6833067503,家居用品,纸巾,5,39,苏州,微信支付,2025-08-12
6882063897,食品,巧克力,4,59,重庆,微信支付,2025-08-13
5814816711,家居用品,蜡烛,8,49,福州,支付宝,2025-08-13
6815487266,图书,技术书籍,5,89,广州,支付宝,2025-08-14
5841352622,家居用品,拖把,1,89,昆明,银行卡,2025-08-14
5841427707,食品,蜂蜜,7,89,深圳,银行卡,2025-08-14
5805792947,家居用品,扫把,4,39,青岛,银行卡,2025-08-14
6874166656,食品,麦片,2,49,南京,支付宝,2025-08-15
6888548139,食品,能量棒,7,49,杭州,支付宝,2025-08-16
6867654283,电子产品,无线耳机,2,299,昆明,银行卡,2025-08-16
6837893528,家居用品,扫把,4,39,北京,微信支付,2025-08-16
6890392173,食品,茶叶,5,199,武汉,支付宝,2025-08-16
6853663987,食品,零食大礼包,2,89,福州,银行卡,2025-08-16
6802052554,服装,睡衣,3,199,郑州,银行卡,2025-08-17
5822424851,食品,坚果,4,79,宁波,银行卡,2025-08-17
6838941887,电子产品,路由器,7,299,杭州,银行卡,2025-08-17
5851089960,家居用品,毛巾,10,49,昆明,微信支付,2025-08-18
5823329114,图书,字典,7,99,天津,微信支付,2025-08-18
5821040515,电子产品,钢化膜,9,39,青岛,微信支付,2025-08-18
6830515225,图书,摄影集,7,129,苏州,银行卡,2025-08-18
6822412203,服装,休闲裤,8,299,合肥,支付宝,2025-08-19
5817231648,服装,衬衫,5,299,杭州,微信支付,2025-08-19
6841473447,食品,果汁,4,39,广州,银行卡,2025-08-19
5815401663,家居用品,沙发,9,3999,青岛,微信支付,2025-08-19
6832245129,食品,矿泉水,10,29,杭州,银行卡,2025-08-19
5884006836,食品,海苔,6,29,深圳,银行卡,2025-08-19
6808702911,电子产品,路由器,4,299,厦门,支付宝,2025-08-20
5836984659,图书,食谱,7,49,天津,微信支付,2025-08-20
5878122717,电子产品,智能手表,10,899,广州,微信支付,2025-08-21
6890876412,食品,海苔,1,29,武汉,微信支付,2025-08-21
6824270558,食品,薯片,1,19,武汉,支付宝,2025-08-22
6814064009,图书,练习册,9,39,合肥,银行卡,2025-08-22
5832052306,家居用品,毛巾,2,49,郑州,支付宝,2025-08-22
5865217126,电子产品,存储卡,7,129,福州,支付宝,2025-08-23
6813149131,电子产品,手机壳,9,49,南京,微信支付,2025-08-23
5865254576,食品,方便面,2,49,长沙,支付宝,2025-08-23
5864343049,服装,风衣,1,699,合肥,微信支付,2025-08-24
6824634614,服装,西装裤,2,449,合肥,微信支付,2025-08-24
5872729055,电子产品,键盘,2,199,成都,支付宝,2025-08-24
6818532821,图书,漫画,8,39,昆明,银行卡,2025-08-24
6820986832,食品,肉脯,3,69,广州,支付宝,2025-08-24
6899877847,家居用品,枕头,10,199,武汉,支付宝,2025-08-25
6886260421,电子产品,移动电源,4,149,厦门,支付宝,2025-08-25
6860752624,图书,字帖,7,29,天津,银行卡,2025-08-25
5877457110,食品,蜂蜜,2,89,重庆,支付宝,2025-08-25
5832560118,食品,薯片,7,19,北京,支付宝,2025-08-25
5880846456,服装,西装裤,9,449,昆明,微信支付,2025-08-25
5875231157,图书,笔记本,6,49,昆明,银行卡,2025-08-26
5873373109,家居用品,洗衣液,2,49,天津,微信支付,2025-08-26
6871646723,图书,杂志,7,29,武汉,银行卡,2025-08-27
6829733993,家居用品,窗帘,7,399,苏州,支付宝,2025-08-27
6889261873,图书,笔记本,8,49,南京,微信支付,2025-08-27
6869253277,食品,方便面,1,49,北京,支付宝,2025-08-27
6807376898,家居用品,香薰,7,99,青岛,支付宝,2025-08-28
6869886459,图书,教材,3,79,厦门,支付宝,2025-08-28
6806160339,食品,零食大礼包,3,89,青岛,支付宝,2025-08-29
6862175114,食品,面包,8,29,成都,支付宝,2025-08-29
6827231926,图书,字典,4,99,长沙,微信支付,2025-08-29
5826822786,家居用品,地毯,2,299,苏州,支付宝,2025-08-29
6807847191,图书,漫画,8,39,杭州,支付宝,2025-08-29
5854096632,服装,牛仔裤,4,399,昆明,支付宝,2025-08-30
6838020550,家居用品,地毯,5,299,广州,银行卡,2025-08-30
5838148763,电子产品,蓝牙耳机,10,199,杭州,支付宝,2025-08-30
5855677494,食品,坚果,10,79,宁波,支付宝,2025-08-30
6812559570,电子产品,智能手表,9,899,深圳,支付宝,2025-08-31
6833144246,食品,能量棒,5,49,厦门,支付宝,2025-08-31
6889158121,食品,牛奶,10,69,厦门,微信支付,2025-08-31
5881823286,图书,画册,5,99,长沙,微信支付,2025-08-31
6801495528,图书,历史书,9,89,福州,微信支付,2025-09-01
6867566121,图书,旅游指南,6,69,广州,银行卡,2025-09-01
6817604870,服装,围巾,5,129,杭州,银行卡,2025-09-01
6827897151,食品,能量棒,9,49,重庆,银行卡,2025-09-01
5830696359,食品,坚果,3,79,上海,支付宝,2025-09-01
6840828332,家居用品,洗衣液,7,49,郑州,微信支付,2025-09-02
5857696039,电子产品,蓝牙耳机,8,199,上海,银行卡,2025-09-02
5859034879,服装,连衣裙,9,499,武汉,支付宝,2025-09-02
5849308732,服装,风衣,5,699,厦门,微信支付,2025-09-03
6809660384,食品,矿泉水,5,29,北京,微信支付,2025-09-03
6803745732,家居用品,垃圾桶,8,59,杭州,银行卡,2025-09-03
5876386922,图书,漫画,6,39,昆明,支付宝,2025-09-03
5872884276,图书,食谱,5,49,广州,银行卡,2025-09-04
6862898039,图书,字帖,9,29,南京,支付宝,2025-09-04
6887906700,电子产品,移动电源,7,149,宁波,支付宝,2025-09-04
5822235365,家居用品,垃圾桶,9,59,青岛,银行卡,2025-09-04
6836140342,食品,零食大礼包,1,89,郑州,微信支付,2025-09-06
6866915478,图书,绘本,2,59,北京,微信支付,2025-09-06
5872942373,食品,饼干,8,39,厦门,微信支付,2025-09-06
6851028631,图书,字帖,1,29,成都,支付宝,2025-09-06
6869653239,食品,糖果,6,39,郑州,银行卡,2025-09-07
5801962133,家居用品,收纳盒,2,79,武汉,微信支付,2025-09-07
6832952335,食品,果干,4,59,广州,银行卡,2025-09-08
6840926430,图书,摄影集,10,129,杭州,微信支付,2025-09-08
5834735575,食品,酸奶,5,59,成都,支付宝,2025-09-08
6876402501,服装,睡衣,10,199,西安,支付宝,2025-09-08
6851411201,图书,字典,3,99,宁波,支付宝,2025-09-09
5825644770,家居用品,垃圾桶,2,59,广州,微信支付,2025-09-09
6884360308,电子产品,笔记本电脑,5,5999,广州,银行卡,2025-09-09
6858821045,家居用品,沙发,8,3999,武汉,支付宝,2025-09-09
6878999122,家居用品,香薰,3,99,杭州,支付宝,2025-09-09
5884742846,食品,巧克力,2,59,青岛,银行卡,2025-09-10
6873035797,电子产品,路由器,2,299,昆明,银行卡,2025-09-10
5871133274,电子产品,鼠标,1,89,苏州,支付宝,2025-09-10
5839574954,家居用品,地毯,4,299,深圳,支付宝,2025-09-10
5878252086,食品,肉脯,7,69,郑州,支付宝,2025-09-11
6826816957,服装,手套,5,59,北京,支付宝,2025-09-11
5881472337,家居用品,桌布,4,79,武汉,支付宝,2025-09-12
5831710697,家居用品,餐具套装,6,199,重庆,支付宝,2025-09-12
6818372908,服装,风衣,1,699,广州,微信支付,2025-09-13
6890163345,食品,矿泉水,9,29,南京,支付宝,2025-09-13
5866711381,食品,肉脯,10,69,成都,支付宝,2025-09-13
6874405722,食品,果汁,6,39,长沙,银行卡,2025-09-13
6862347895,电子产品,U盘,10,59,宁波,银行卡,2025-09-14
6862143082,图书,散文集,10,59,武汉,支付宝,2025-09-14
6881174739,家居用品,水杯,3,49,郑州,微信支付,2025-09-14
5890937948,电子产品,USB数据线,1,29,天津,微信支付,2025-09-14
6859092130,家居用品,床垫,4,5999,宁波,微信支付,2025-09-15
6864610136,电子产品,平板电脑,9,2499,青岛,微信支付,2025-09-15
6856858615,电子产品,智能手机,5,2999,武汉,支付宝,2025-09-16
6874044470,图书,字典,6,99,上海,银行卡,2025-09-16
6811229309,家居用品,拖把,2,89,上海,支付宝,2025-09-16
5867096000,电子产品,移动电源,3,149,长沙,支付宝,2025-09-16
5869692650,电子产品,移动电源,7,149,昆明,支付宝,2025-09-17
5861400879,服装,卫衣,7,349,天津,银行卡,2025-09-17
5827294885,电子产品,移动电源,2,149,成都,银行卡,2025-09-18
6878930826,电子产品,USB数据线,1,29,南京,银行卡,2025-09-19
6894030876,图书,绘本,9,59,昆明,银行卡,2025-09-19
5866314665,电子产品,手机壳,9,49,重庆,微信支付,2025-09-19
5844313707,服装,短裤,3,149,广州,微信支付,2025-09-19
5898273477,家居用品,毛巾,3,49,杭州,支付宝,2025-09-19
5878946554,服装,手套,6,59,重庆,微信支付,2025-09-20
5838636156,食品,蜂蜜,4,89,重庆,银行卡,2025-09-20
5852580673,食品,坚果,1,79,深圳,支付宝,2025-09-20
6891639233,食品,蜂蜜,6,89,合肥,银行卡,2025-09-20
6841710658,电子产品,无线耳机,9,299,西安,支付宝,2025-09-21
5844830398,食品,茶叶,9,199,郑州,微信支付,2025-09-21
5813870384,电子产品,智能手表,3,899,宁波,支付宝,2025-09-22
5800257671,图书,旅游指南,2,69,上海,银行卡,2025-09-22
6868880875,家居用品,被子,9,399,郑州,微信支付,2025-09-22
6835453724,图书,科普书,3,59,青岛,支付宝,2025-09-23
6837647011,服装,卫衣,10,349,郑州,微信支付,2025-09-24
6873163407,图书,摄影集,7,129,青岛,支付宝,2025-09-24
5804112603,家居用品,沙发,2,3999,青岛,微信支付,2025-09-25
6849785580,电子产品,笔记本电脑,10,5999,重庆,支付宝,2025-09-26
5869835128,电子产品,手机壳,9,49,郑州,银行卡,2025-09-26
6802890262,图书,小说,9,49,天津,微信支付,2025-09-26
5867475720,服装,卫衣,9,349,广州,支付宝,2025-09-26
5868828994,图书,字典,7,99,苏州,微信支付,2025-09-26
6898045661,图书,历史书,3,89,北京,银行卡,2025-09-26
6865928279,电子产品,显示器,4,1299,长沙,银行卡,2025-09-26
5831333751,电子产品,平板电脑,9,2499,深圳,支付宝,2025-09-27
6845600235,食品,矿泉水,8,29,上海,银行卡,2025-09-27
6860434598,图书,诗集,3,49,福州,支付宝,2025-09-28
5863886364,服装,内衣,1,89,合肥,微信支付,2025-09-29
5803917597,家居用品,地毯,9,299,武汉,微信支付,2025-09-29
6886426092,图书,技术书籍,7,89,合肥,微信支付,2025-09-30
6859888529,食品,咖啡,5,129,苏州,银行卡,2025-10-01
6895298343,电子产品,智能手机,9,2999,西安,支付宝,2025-10-01
6826516262,家居用品,蜡烛,6,49,杭州,支付宝,2025-10-02
6817711302,家居用品,枕头,6,199,宁波,微信支付,2025-10-02
5813878248,电子产品,麦克风,9,299,宁波,银行卡,2025-10-02
5899770200,电子产品,摄像头,7,399,厦门,支付宝,2025-10-02
6875889166,服装,运动裤,1,249,厦门,银行卡,2025-10-02
5819354578,图书,历史书,6,89,福州,银行卡,2025-10-02
5833331680,食品,果汁,5,39,杭州,微信支付,2025-10-03
6824842307,电子产品,路由器,10,299,深圳,支付宝,2025-10-03
6883024532,图书,诗集,10,49,宁波,银行卡,2025-10-03
6809302399,电子产品,显示器,1,1299,青岛,支付宝,2025-10-04
5876425200,家居用品,餐具套装,3,199,昆明,支付宝,2025-10-04
6805742005,服装,羽绒服,9,899,深圳,微信支付,2025-10-04
6886253595,图书,诗集,1,49,西安,银行卡,2025-10-04
5800957347,服装,风衣,1,699,苏州,支付宝,2025-10-04
